Date,Int,Pressure,PumpState
2017-08-24 18:47:54.690,0,5.10157363,
2017-08-24 18:47:55.200,0,,
2017-08-24 18:48:07.860,0,,
2017-08-24 18:48:09.190,0,5.60022835,
2017-08-24 18:49:03.200,0,,
2017-08-24 18:49:19.700,0,5.10157363,
2017-08-24 18:50:48.940,0,4.64045425,
2017-08-24 18:53:04.940,0,4.21454626,
2017-08-24 18:56:29.690,0,3.82163759,
2017-08-24 19:02:05.700,0,3.45962432,
2017-08-24 19:10:25.450,0,3.12650692,
2017-08-24 19:23:04.700,0,2.82038657,
2017-08-24 19:53:29.200,0,2.5394616,
2017-08-24 20:27:14.940,0,2.28202397,
2017-08-24 20:27:50.450,0,2.04645586,
2017-08-24 20:28:23.440,0,,16.0
2017-08-24 20:28:48.440,0,,32.0
2017-08-24 20:31:27.470,0,,1.0
2017-08-24 20:31:27.770,0,3458.81502,
2017-08-24 20:31:28.080,0,9878.67775,
2017-08-24 20:31:37.480,0,7542.86234,
2017-08-24 20:31:38.020,0,6051.52476,
2017-08-24 20:31:38.310,0,4747.83961,
2017-08-24 20:31:38.450,0,3357.83421,
2017-08-24 20:31:39.030,0,2202.48323,
2017-08-24 20:31:39.340,0,1927.89432,
2017-08-24 20:31:39.770,0,1434.30858,
2017-08-24 20:31:40.080,0,1253.82779,
2017-08-24 20:31:40.380,0,1157.93434,
2017-08-24 20:31:40.690,0,964.863329,
2017-08-24 20:31:40.980,0,835.287682,
2017-08-24 20:31:41.310,0,778.591869,
2017-08-24 20:31:41.500,0,682.096616,
2017-08-24 20:31:41.830,0,596.579161,
2017-08-24 20:31:42.110,0,488.087494,
2017-08-24 20:31:42.410,0,405.119164,
2017-08-24 20:31:42.720,0,329.64893,
2017-08-24 20:31:43.030,0,266.612002,
2017-08-24 20:31:43.330,0,229.242282,
2017-08-24 20:31:43.690,0,191.328619,
2017-08-24 20:31:43.750,0,179.93041,
2017-08-24 20:31:44.050,0,147.754062,
2017-08-24 20:31:44.360,0,122.845776,
2017-08-24 20:31:44.720,0,104.545472,
2017-08-24 20:31:44.980,0,88.5934443,
2017-08-24 20:31:45.280,0,81.0124913,
2017-08-24 20:31:45.440,0,74.7389728,
2017-08-24 20:31:45.700,0,68.87885,
2017-08-24 20:31:46.000,0,59.5516048,
2017-08-24 20:31:46.300,0,55.8926339,
2017-08-24 20:31:46.450,0,52.4244163,
2017-08-24 20:31:46.950,0,48.0828161,
2017-08-24 20:31:47.220,0,44.5356335,
2017-08-24 20:31:47.450,0,41.2108859,
2017-08-24 20:31:47.730,0,38.5294538,
2017-08-24 20:31:48.250,0,35.996087,
2017-08-24 20:31:48.720,0,33.2187062,
2017-08-24 20:31:49.000,0,134.816804,
2017-08-24 20:31:49.310,0,215.958006,
2017-08-24 20:31:49.410,0,233.162085,
2017-08-24 20:31:49.720,0,262.220786,
2017-08-24 20:31:50.030,0,277.863842,
2017-08-24 20:31:50.330,0,296.70576,
2017-08-24 20:31:51.050,0,264.408666,
2017-08-24 20:31:51.750,0,214.114398,
2017-08-24 20:31:52.080,0,175.223598,
2017-08-24 20:31:52.390,0,149.103313,
2017-08-24 20:31:52.700,0,133.577226,
2017-08-24 20:31:53.000,0,112.848714,
2017-08-24 20:31:53.300,0,103.544667,
2017-08-24 20:31:53.440,0,95.8241951,
2017-08-24 20:31:53.700,0,86.8592625,
2017-08-24 20:31:54.020,0,80.2049055,
2017-08-24 20:31:54.310,0,73.9843179,
